id,email,password,role
1,vika@gmail.com,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,student
2,dina@gmail.com,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,student
3,mimi@gmail.com,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,student
4,lili@gmail.com,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,student
5,nina@gmail.com,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,student
6,giga@gmail.com,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,student
7,grant@gmail.com,7540cdae3c37a60f75b12db362417702e7519963216f4af5a9995cba172f48a4,student
8,dave@gmail.com,b34cf23f32f161e1b9decf9af8827cebf37457b391cabf7095128f8fe84cdab3,student
1,ira@gmail.com,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,instructor
2,kuru@gmail.com,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,instructor
3,paul@gmail.com,2a0411c65dd00ecfac07bb8636e0cc20b7011128956d2025d8b13a88b0c2e0cc,instructor
4,grace@gmail.com,716d1d5ba80ac7243b2a4d0ca7d3a2842ab1f0e59b035a2fc30891ae22358c8e,instructor
0,jason@gmail.com,92dc9046cc5a15f1079f585b82d34d83214dbd357482359d92b1d83b1d3b0cbe,admin
